,ANTONIO MASPES - VIGORELLI,VIA ARONA   19,8,CENTRO SPORTIVO,www.milanosport.it,023311513
0239210739,LIDO DI MILANO,PLE LOTTO LORENZO   15,8,CENTRO SPORTIVO,www.milanosport.it,0239266100
0239210739,PALALIDO,PZA STUPARICH CARLO   1,8,CENTRO SPORTIVO,www.milanosport.it,0239266100
0239262162,XXV APRILE,VIA CIMABUE GIOVANNI   24,8,CENTRO SPORTIVO,www.milanosport.it,0239262162
,SAN GIOVANNI BATTISTA ALLA BICOCCA,VIA LA FARINA GIUSEPPE   15,9,CENTRO SPORTIVO,,
,SANTA GIUSTINA,VLE AFFORI   12,9,CENTRO SPORTIVO,,
,RESURREZIONE,VIA LESSONA MICHELE   70,8,CENTRO SPORTIVO,,
,CRISTO RE,VIA GALENO CLAUDIO   32,2,CENTRO SPORTIVO,,
,SAN BERNARDO IN COMASINA,PZA GASPARRI PIETRO   11,9,CENTRO SPORTIVO,,
,ORATORIO CENTRO GIOVANILE SAN LUIGI,VIA ACERBI ENRICO   12,9,PALLACANESTRO,,
,SAN BASILIO,VIA CAROLI LUIGI   12,2,CENTRO SPORTIVO,,
,A.C. CRESCENZAGO,VIA TRASIMENO   25,2,CENTRO SPORTIVO,www.ac-crescenzago.it,027207408
,FIN FEDERAZIONE ITALIANA NUOTO SAMUELE,VIA TRANI   1,4,PISCINA,,025061347
02502918,A.C. MACALLESI 1927,VLE UNGHERIA   5,4,CENTRO SPORTIVO,www.macallesi.it,025061901
,ASSOCIAZIONE  TENNIS PORTA ROMANA,LGO PARENTI FRANCO   2,4,FITNESS MACCHINE,,025460946
,C.S. FATIMA,VIA CHOPIN FEDERICO   81,5,CENTRO SPORTIVO,,025693053
,A.S. LOMBARDIA UNO POLISPORTIVA,VIA DE NICOLA ENRICO   3,6,CENTRO SPORTIVO,,028135386
,ASSOCIAZIONE SPORTIVA 70A DANCE & FITNESS,VLE ABRUZZI   70  A,3,FITNESS MACCHINE,,0229406119
,ACQUAMICA SRL,VIA DI TOCQUEVILLE ALESSIO   7,9,FITNESS MACCHINE,,026554677
,ALTAGUARDIA 6 SRL PALESTRA CENTRO ESTETICO,VIA ALTAGUARDIA   6,5,FITNESS MACCHINE,, 0258302528
,A.S. CRISTAL CLUB,VIA AMPERE ANDREA MARIA   122,3,FITNESS MACCHINE,,0226111950
0233611488,FIGURELLA MILANO SEMPIONE,VIA LONDONIO FRANCESCO   20,8,GINNASTICA,, 0233611486
,ACCADUEO' & AREATERRA,VLE LUCANIA   27,4,GINNASTICA,,0255230786
,AIKIDO PALESTRA,VIA LULLI GIOVANNI   30,3,GINNASTICA,,022896939
028460880,ECOLIFE EVOLUZIONE SALUTE E AMBIENTE SRL,PZA AGRIPPA MARCO   12,5,GINNASTICA,,028460880
,FISIO DYNAMIC SA DI R. CAPUANA,VIA MAIOCCHI ACHILLE   8,3,GINNASTICA,,02201359
0289054669,ACCADEMIA EUROPEA,VIA MELZO   9,3,GINNASTICA,,0229409080
0267078197,MILANO SPORT SPA,VIA DE MARCHI EMILIO   17,2,PISCINA,www.milanosport.it,026706063
022593610,OPEN DANCE CENTER SRL,VIA MEUCCI ANTONIO   73,2,GINNASTICA,,0227201180
0227001350,FIGURELLA MILANO PRECOTTO,VLE MONZA   261,2,GINNASTICA,,0227003253
,ISTITUTO SALESIANO DON BOSCO,VIA TONALE   19,2,CENTRO SPORTIVO,,
