553,8A,,1514514.76061,5034047.2261,OLMETTO,CULTURA,TEATRI E AUDITORIUM,TEATRO,SERVIZI PRIVATI ESISTENTI,PRIVATA,PRIVATA,ASSOCIAZIONE TEATRALE DUENDE,PRIVATA,NESSUN RAPPORTO CON IL COMUNE,DISMESSO,VIA OLMETTO 8A,553 8A,28,1,OLMETTO, VIA OLMETTO 8A, TEATRO
7221,16,,1512873.40249,5037331.16079,OUT OFF,CULTURA,TEATRI E AUDITORIUM,TEATRO,SERVIZI PUBBLICI ESISTENTI,COMUNE DI MILANO,PUBBLICA,TEATRO OUT OFF S.A.S.,PRIVATA,CONVENZIONE,IN ESERCIZIO,VIA MAC MAHON 16,7221 16,29,8,OUT OFF, VIA MAC MAHON 16, TEATRO
3007,0,,1516897.3716,5034077.14044,PALAZZINA LIBERTY,CULTURA,TEATRI E AUDITORIUM,AUDITORIUM,SERVIZI PUBBLICI ESISTENTI,COMUNE DI MILANO,PUBBLICA,COMUNE DI MILANO,PUBBLICA,GESTIONE DIRETTA,IN ESERCIZIO,LGO MARINAI D'ITALIA SNC,3007 0,74,4,PALAZZINA LIBERTY, LGO MARINAI D'ITALIA SNC, AUDITORIUM
722,2,,1514468.61081,5034829.5005,PICCOLO TEATRO GRASSI,CULTURA,TEATRI E AUDITORIUM,TEATRO,SERVIZI PUBBLICI ESISTENTI,COMUNE DI MILANO,PUBBLICA,FOND. ENTE AUT. PICCOLO TEATRO CITTA' DI MILANO,PUBBLICA,FONDAZIONE PARTECIPATA,IN ESERCIZIO,VIA ROVELLO 2,722 2,30,1,PICCOLO TEATRO GRASSI, VIA ROVELLO 2, TEATRO
726,1,,1514297.23608,5035458.2625,PICCOLO TEATRO STREHLER,CULTURA,TEATRI E AUDITORIUM,TEATRO,SERVIZI PUBBLICI ESISTENTI,COMUNE DI MILANO,PUBBLICA,FOND. ENTE AUT. PICCOLO TEATRO CITTA' DI MILANO,PUBBLICA,FONDAZIONE PARTECIPATA,IN ESERCIZIO,LGO GREPPI ANTONIO,726 1,31,1,PICCOLO TEATRO STREHLER, LGO GREPPI ANTONIO, TEATRO
7080,6,,1514323.51149,5035488.20398,PICCOLO TEATRO STUDIO,CULTURA,TEATRI E AUDITORIUM,TEATRO,SERVIZI PUBBLICI ESISTENTI,COMUNE DI MILANO,PUBBLICA,FOND. ENTE AUT. PICCOLO TEATRO CITTA' DI MILANO,PUBBLICA,FONDAZIONE PARTECIPATA,IN ESERCIZIO,VIA RIVOLI 6,7080 6,32,1,PICCOLO TEATRO STUDIO, VIA RIVOLI 6, TEATRO
4094,70,,1517429.6632,5032783.85621,PIM SPAZIO SCENICO,CULTURA,TEATRI E AUDITORIUM,TEATRO,SERVIZI PRIVATI ESISTENTI,PRIVATA,PRIVATA,ASSOCIAZIONE CULTURALE PIM SPAZIO SCENICO,PRIVATA,NESSUN RAPPORTO CON IL COMUNE,IN ESERCIZIO,VIA TERTULLIANO 70,4094 70,33,4,PIM SPAZIO SCENICO, VIA TERTULLIANO 70, TEATRO
6385,94,,1511384.807,5035813.69099,PIME,CULTURA,TEATRI E AUDITORIUM,TEATRO,SERVIZI PRIVATI ESISTENTI,CURIA - PIME,PRIVATA,TEATRO DEL BURATTO SOC.COOP.,PRIVATA,NESSUN RAPPORTO CON IL COMUNE,IN ESERCIZIO,VIA BIANCHI MOSE' 94,6385 94,34,7,PIME, VIA BIANCHI MOSE' 94, TEATRO
402,124,,1515692.55069,5033331.73099,PORTA ROMANA,CULTURA,TEATRI E AUDITORIUM,TEATRO,SERVIZI PRIVATI ESISTENTI,PRIVATA,PRIVATA,PRIVATA,PRIVATA,NESSUN RAPPORTO CON IL COMUNE,DISMESSO,CSO DI PORTA ROMANA 124,402 124,35,1,PORTA ROMANA, CSO DI PORTA ROMANA 124, TEATRO
2129,33,,1516422.98931,5036246.5541,PUCCINI,CULTURA,TEATRI E AUDITORIUM,TEATRO,SERVIZI PUBBLICI ESISTENTI,COMUNE DI MILANO,PUBBLICA,TEATRIDITHALIA,PRIVATA,CONVENZIONE,IN ESERCIZIO,CSO BUENOS AIRES 33,2129 33,36,3,PUCCINI, CSO BUENOS AIRES 33, TEATRO
